Time,Total,Generator
405,39.1922232399,5
406,39.1920971165,5
407,39.1649610394,5
408,39.1610216222,5
409,39.1539520652,5
410,39.1079795244,5
411,39.1065510744,5
412,39.0912378862,5
413,39.047569642,5
414,39.0454858348,5
415,39.0199069332,5
416,39.0156036739,5
417,39.0109671204,5
418,38.9783229168,5
419,38.9453661828,5
420,38.938913883,5
421,38.9380574571,5
422,38.8536495399,5
423,38.8452651079,5
424,38.8375293212,5
425,38.8307702422,5
426,38.817294848,5
427,38.7816295076,5
428,38.7549768582,5
429,38.7431258764,5
430,38.7223536235,5
431,38.7175442729,5
432,38.7143298054,5
433,38.7045351864,5
434,38.7018696311,5
435,38.6949618794,5
436,38.6878564213,5
437,38.6827018407,5
438,38.6825169858,5
439,38.6705533482,5
440,38.6676412655,5
441,38.6548176084,5
442,38.6486496976,5
443,38.6467859248,5
444,38.6416043591,5
445,38.6414578047,5
446,38.6331257669,5
447,38.6217227655,5
448,38.6152511422,5
449,38.6011732122,5
450,38.5996507773,5
451,38.5947705253,5
452,38.583246685,5
453,38.5524938693,5
454,38.5521530266,5
455,38.5447078839,5
456,38.5301284561,5
457,38.5161625034,5
458,38.514343865,5
459,38.513625342,5
460,38.5024024109,5
461,38.4917713156,5
462,38.4655361583,5
463,38.434944382,5
464,38.4198647147,5
465,38.4184991977,5
466,38.3859171418,5
467,38.3575843092,5
468,38.355545978,5
469,38.3535050976,5
470,38.3505862684,5
471,38.3492502733,5
472,38.3440377099,5
473,38.3420027853,5
474,38.332982023,5
475,38.3307481054,5
476,38.3260739806,5
477,38.2811676539,5
478,38.268620673,5
479,38.2683504607,5
480,38.2602121852,5
481,38.25906335,5
482,38.2571007511,5
483,38.2544754768,5
484,38.2484957771,5
485,38.2440431358,5
486,38.2280020671,5
487,38.2276946618,5
488,38.2224784635,5
489,38.2117743257,5
490,38.2075045287,5
491,38.1978029074,5
492,38.1972638014,5
493,38.1964217118,5
494,38.1703269542,5
495,38.1685520084,5
496,38.168442517,5
497,38.1666968824,5
498,38.1616481507,5
499,38.1600331293,5
500,38.1587717522,5
501,38.1501003759,5
502,38.1304917789,5
503,38.1243152027,5
504,38.1169767416,5
505,38.0982431905,5
506,38.0953134746,5
507,38.0953118515,5
508,38.0925618519,5
509,38.0259954681,5
510,38.0005931579,5
511,37.988247062,5
512,37.9841192229,5
513,37.9689672614,5
514,37.940910744,5
515,37.9390281097,5
516,37.935192115,5
517,37.9092509709,5
518,37.8929159542,5
519,37.8920598901,5
520,37.8910355046,5
521,37.8850575962,5
522,37.8743872332,5
523,37.8710316873,5
524,37.8575787101,5
525,37.8429619743,5
526,37.8414810843,5
527,37.8324249232,5
528,37.8316473199,5
529,37.8071728927,5
530,37.800186363,5
531,37.7984896427,5
532,37.7664951217,5
533,37.7557810435,5
534,37.7380777371,5
535,37.7257888965,5
536,37.6980251501,5
537,37.6836106532,5
538,37.6811439005,5
539,37.670594649,5
540,37.6681855513,5
541,37.6591224898,5
542,37.6512165081,5
543,37.6484709833,5
544,37.645889553,5
545,37.6440713579,5
546,37.6379225645,5
547,37.6367981083,5
548,37.6320052106,5
549,37.6304440245,5
550,37.6260568917,5
551,37.6237859109,5
552,37.6200867751,5
553,37.6142810787,5
554,37.6045864667,5
555,37.5988986161,5
556,37.5804867623,5
557,37.5431069675,5
558,37.5323529887,5
559,37.5243415077,5
560,37.5174386746,5
561,37.5131696883,5
562,37.5111092691,5
563,37.5019346245,5
564,37.4743621157,5
565,37.4628824009,5
566,37.4628229246,5
567,37.4467533229,5
568,37.4377704891,5
569,37.431431385,5
570,37.407764947,5
571,37.3765148375,5
572,37.3608692054,5
573,37.3593586055,5
574,37.3568972052,5
575,37.3489433808,5
576,37.330684153,5
577,37.322337758,5
578,37.3198295291,5
579,37.3044692268,5
580,37.27995065,5
581,37.2698499152,5
582,37.2623643734,5
583,37.2575045027,5
584,37.2516617804,5
585,37.2267652588,5
586,37.2254024152,5
587,37.2149689318,5
588,37.2118752582,5
589,37.199528147,5
590,37.1932093237,5
591,37.1907569898,5
592,37.1791742832,5
593,37.1687325329,5
594,37.1675111568,5
595,37.150799569,5
596,37.1080433933,5
597,37.1063994498,5
598,37.104114417,5
599,37.0829777416,5
600,37.0757911581,5
601,37.0751636409,5
602,37.0651162786,5
603,37.0344211815,5
604,37.0325017726,5
605,37.0292337795,5
606,36.9958730297,5
607,36.9886317538,5
608,36.9863457601,5
609,36.9811491003,5
610,36.9727225749,5
611,36.9691896796,5
612,36.9600453234,5
613,36.9526678993,5
614,36.943166592,5
615,36.9336789395,5
616,36.9293211694,5
617,36.918915073,5
618,36.9110474085,5
619,36.8894481489,5
620,36.889437109,5
621,36.8883959432,5
622,36.8552372004,5
623,36.8535440235,5
624,36.834888371,5
625,36.8324932091,5
626,36.8193049554,5
627,36.8192076819,5
628,36.8151615428,5
629,36.8139361135,5
630,36.810187466,5
631,36.7982818592,5
632,36.7882893748,5
633,36.7877765357,5
634,36.7751119004,5
635,36.7651277918,5
636,36.7572117645,5
637,36.7517695508,5
638,36.7492783457,5
639,36.6920688442,5
640,36.6837951275,5
641,36.667284143,5
642,36.6426887434,5
643,36.6413534538,5
644,36.6208735922,5
645,36.6136576554,5
646,36.6014241475,5
647,36.5921744182,5
648,36.590780931,5
649,36.5860769099,5
650,36.5822271901,5
651,36.5804990076,5
652,36.5752238849,5
653,36.5704069548,5
654,36.5699801429,5
655,36.5419784978,5
656,36.5282480205,5
657,36.5001142254,5
658,36.4855312592,5
659,36.4851461024,5
660,36.4763265357,5
661,36.4728507358,5
662,36.4659542199,5
663,36.4507611048,5
664,36.4506803867,5
665,36.421003222,5
666,36.415369706,5
667,36.4136001054,5
668,36.4054219187,5
669,36.4021288953,5
670,36.3998928828,5
671,36.3959190213,5
672,36.389867038,5
673,36.3883563123,5
674,36.3837167257,5
675,36.3753461089,5
676,36.3662711347,5
677,36.3357069817,5
678,36.3301456545,5
679,36.322324127,5
680,36.3200105165,5
681,36.3090636204,5
682,36.303838372,5
683,36.3007245724,5
684,36.2735282614,5
685,36.266132072,5
686,36.263350098,5
687,36.260088236,5
688,36.2591619837,5
689,36.2510467131,5
690,36.2496010374,5
691,36.2359762994,5
692,36.2338593576,5
693,36.2301619079,5
694,36.2267419096,5
695,36.2221322873,5
696,36.2154409694,5
697,36.2038278853,5
698,36.1804786445,5
699,36.1752791925,5
700,36.1674444612,5
701,36.1461221784,5
702,36.1377182034,5
703,36.1370626223,5
704,36.1369427148,5
